unit_key,channel,unit_id,is_mua,n_spikes,snr,isi_violation,band,lfp_channel,mrl,ppc,p_value,preferred_phase_deg,significant
ch0_unit1,0,1,True,141,2.54,3.57,delta,0,0.1623,0.0194,0.024432,105.4,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,1,0.1793,0.0252,0.010756,121.7,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,2,0.1881,0.0285,0.006827,105.3,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,3,0.1800,0.0255,0.010367,113.6,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,4,0.1962,0.0316,0.004383,102.0,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,5,0.1589,0.0183,0.028431,105.1,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,6,0.1686,0.0215,0.018195,111.5,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,7,0.1731,0.0230,0.014645,114.8,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,8,0.1769,0.0244,0.012143,109.6,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,9,0.1364,0.0116,0.072538,119.3,False
ch0_unit1,0,1,True,141,2.54,3.57,delta,10,0.1821,0.0262,0.009337,114.0,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,11,0.1674,0.0211,0.019264,119.4,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,12,0.1639,0.0199,0.022698,120.2,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,13,0.1722,0.0227,0.015289,119.3,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,14,0.1509,0.0158,0.040323,118.8,True
ch0_unit1,0,1,True,141,2.54,3.57,theta,0,0.0663,-0.0027,0.538037,-44.2,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,1,0.0489,-0.0047,0.713965,-146.6,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,2,0.0520,-0.0044,0.682602,-66.0,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,3,0.0405,-0.0055,0.793929,-132.9,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,4,0.0460,-0.0050,0.742135,-72.2,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,5,0.0468,-0.0049,0.734230,-83.9,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,6,0.0430,-0.0053,0.770439,-78.8,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,7,0.0588,-0.0037,0.614247,-125.3,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,8,0.0612,-0.0034,0.589606,-52.3,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,9,0.0473,-0.0049,0.729729,-145.6,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,10,0.0677,-0.0025,0.524243,-42.8,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,11,0.0763,-0.0013,0.440381,-46.8,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,12,0.0715,-0.0020,0.486804,-45.1,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,13,0.0665,-0.0027,0.535616,-43.6,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,14,0.0794,-0.0008,0.411258,-48.1,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,0,0.0912,0.0012,0.309435,145.1,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,1,0.1502,0.0156,0.041570,114.6,True
ch0_unit1,0,1,True,141,2.54,3.57,alpha,2,0.1173,0.0067,0.143755,144.8,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,3,0.1308,0.0101,0.089624,129.9,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,4,0.1201,0.0074,0.130813,137.3,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,5,0.1325,0.0105,0.084063,141.1,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,6,0.1347,0.0111,0.077337,139.6,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,7,0.1363,0.0116,0.072937,122.1,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,8,0.1109,0.0053,0.176360,143.5,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,9,0.1643,0.0200,0.022268,110.8,True
ch0_unit1,0,1,True,141,2.54,3.57,alpha,10,0.0859,0.0003,0.352928,148.7,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,11,0.0732,-0.0017,0.469319,148.5,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,12,0.0745,-0.0016,0.457479,157.6,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,13,0.0730,-0.0018,0.471546,154.7,False
ch0_unit1,0,1,True,141,2.54,3.57,alpha,14,0.0743,-0.0016,0.459176,158.4,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,0,0.1312,0.0102,0.088449,-137.4,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,1,0.1360,0.0115,0.073804,-172.3,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,2,0.1273,0.0092,0.101860,-143.2,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,3,0.1287,0.0095,0.096922,-157.4,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,4,0.1409,0.0129,0.060854,-152.7,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,5,0.1265,0.0090,0.104914,-154.3,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,6,0.1281,0.0094,0.098711,-159.8,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,7,0.1399,0.0126,0.063296,-163.3,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,8,0.1329,0.0106,0.083032,-137.5,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,9,0.1327,0.0106,0.083461,-169.9,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,10,0.1128,0.0057,0.166457,-134.4,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,11,0.0984,0.0026,0.255145,-129.5,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,12,0.1125,0.0056,0.167984,-119.1,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,13,0.1036,0.0037,0.219924,-129.6,False
ch0_unit1,0,1,True,141,2.54,3.57,beta,14,0.0981,0.0025,0.257613,-122.7,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,0,0.0507,-0.0046,0.695905,-109.8,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,1,0.0400,-0.0055,0.798331,110.6,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,2,0.0466,-0.0050,0.736519,-113.5,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,3,0.0514,-0.0045,0.688913,155.1,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,4,0.0534,-0.0043,0.669167,-172.3,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,5,0.0387,-0.0056,0.809534,174.4,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,6,0.0358,-0.0059,0.834882,174.5,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,7,0.0408,-0.0055,0.790869,143.8,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,8,0.0668,-0.0027,0.533299,-125.4,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,9,0.0493,-0.0047,0.709920,116.6,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,10,0.0520,-0.0044,0.682777,-106.2,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,11,0.0493,-0.0047,0.710017,-83.3,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,12,0.0572,-0.0039,0.630805,-95.4,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,13,0.0689,-0.0024,0.512130,-114.3,False
ch0_unit1,0,1,True,141,2.54,3.57,low_gamma,14,0.0616,-0.0033,0.586053,-82.1,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,0,0.0546,-0.0041,0.657081,-112.1,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,1,0.0253,-0.0065,0.913496,-149.9,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,2,0.0491,-0.0047,0.711673,-108.2,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,3,0.0311,-0.0062,0.872528,-124.5,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,4,0.0354,-0.0059,0.837997,-126.4,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,5,0.0423,-0.0053,0.776639,-149.9,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,6,0.0377,-0.0057,0.818157,-133.3,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,7,0.0317,-0.0061,0.868060,-152.9,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,8,0.0615,-0.0033,0.586939,-129.2,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,9,0.0249,-0.0065,0.916053,176.8,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,10,0.0437,-0.0052,0.764370,-120.8,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,11,0.0344,-0.0059,0.846181,-139.0,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,12,0.0482,-0.0048,0.720262,-128.2,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,13,0.0653,-0.0029,0.548627,-115.2,False
ch0_unit1,0,1,True,141,2.54,3.57,high_gamma,14,0.0448,-0.0051,0.753850,-125.9,False
ch0_unit2,0,2,True,220,3.05,4.11,delta,0,0.1524,0.0188,0.006023,154.2,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,1,0.1702,0.0245,0.001711,163.6,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,2,0.1571,0.0202,0.004384,149.5,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,3,0.1413,0.0155,0.012403,150.3,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,4,0.1508,0.0183,0.006734,142.3,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,5,0.1390,0.0148,0.014277,157.7,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,6,0.1533,0.0191,0.005668,149.4,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,7,0.1475,0.0173,0.008338,161.9,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,8,0.1455,0.0167,0.009464,155.1,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,9,0.1458,0.0168,0.009319,171.2,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,10,0.1683,0.0239,0.001973,150.7,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,11,0.1844,0.0296,0.000562,152.8,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,12,0.1621,0.0218,0.003089,157.4,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,13,0.1716,0.0250,0.001536,154.9,True
ch0_unit2,0,2,True,220,3.05,4.11,delta,14,0.1737,0.0257,0.001313,158.6,True
ch0_unit2,0,2,True,220,3.05,4.11,theta,0,0.0734,0.0008,0.305559,16.9,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,1,0.0885,0.0033,0.178620,-72.8,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,2,0.0666,-0.0001,0.377343,4.0,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,3,0.0741,0.0010,0.298336,-52.1,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,4,0.0637,-0.0005,0.409389,-19.6,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,5,0.0664,-0.0001,0.378758,-46.4,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,6,0.0562,-0.0014,0.499722,-47.2,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,7,0.0753,0.0011,0.287601,-58.0,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,8,0.0650,-0.0003,0.394497,-4.2,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,9,0.1090,0.0074,0.073307,-82.8,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,10,0.0860,0.0029,0.196841,23.0,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,11,0.0923,0.0040,0.153638,39.1,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,12,0.1042,0.0063,0.091674,57.6,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,13,0.0944,0.0044,0.140913,33.2,False
ch0_unit2,0,2,True,220,3.05,4.11,theta,14,0.1020,0.0059,0.101228,54.8,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,0,0.0620,-0.0007,0.428817,-31.3,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,1,0.0287,-0.0037,0.834629,-126.1,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,2,0.0526,-0.0018,0.544339,-46.7,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,3,0.0502,-0.0020,0.574112,-88.2,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,4,0.0470,-0.0023,0.614928,-57.9,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,5,0.0483,-0.0022,0.598574,-82.6,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,6,0.0557,-0.0014,0.504840,-80.1,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,7,0.0540,-0.0016,0.526066,-104.0,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,8,0.0629,-0.0006,0.419259,-39.7,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,9,0.0441,-0.0026,0.652259,-130.2,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,10,0.0704,0.0004,0.335903,-32.5,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,11,0.0796,0.0018,0.248086,-22.6,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,12,0.0799,0.0019,0.245182,-23.6,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,13,0.0773,0.0014,0.268569,-24.2,False
ch0_unit2,0,2,True,220,3.05,4.11,alpha,14,0.0823,0.0022,0.225126,-23.0,False
